"","block","streetName","streetType","stretTypeNum","streetDirection","overall","crack","patch","length","width","dateRated","dateLastOverlay","flushOil","flushOilNum","class","classnum","pavement","streetID","NumofYrs","predict"
"2878",300,"BURNS","AVE",6,"",6,3,4,675,26,"4/15/2016",2002,"O",2,"Local",1,"3",12581206,"14",6
"2879",300,"BURT","ST",3,"",2,1,1,495,30,"5/14/2016",1999,"F",3,"MA",3,"6",12577390,"17",2
"2880",300,"BUTTERNUT","ST",3,"",8,5,4,384,42,"4/14/2016",2011,"F",3,"MA",3,"6",12579998,"5",8
"2881",300,"CADILLAC","ST",3,"",6,3,3,306,26,"4/15/2016",1985,"O",2,"Local",1,"3",13001410,"31",6
"2882",300,"CADILLAC","ST",3,"",6,3,3,306,26,"4/15/2016",1985,"O",2,"Local",1,"3",12580582,"31",6
"2883",300,"CADWELL","ST",3,"",7,4,4,305,NA,"4/14/2016",1985,"O",2,"Local",1,"3",13002353,"31",7
"2884",300,"CADWELL","ST",3,"",7,4,4,305,NA,"4/14/2016",1985,"O",2,"Local",1,"3",12573083,"31",7
"2885",300,"CALEB","AVE",6,"",7,3,4,205,29,"4/14/2016",2001,"O",2,"Local",1,"3",12580915,"15",6
"2886",300,"CALTHROP","AVE",6,"W",6,3,4,564,30,"5/14/2016",1985,"O",2,"Local",1,"3",12576728,"31",6
"2887",300,"CANNON","ST",3,"",6,4,2,291,24,"5/14/2016",1999,"F",3,"Local",1,"6",12576830,"17",6
"2888",300,"CARBON","ST",3,"",5,3,2,306,36,"4/14/2016",1987,"F",3,"Local",1,"6",12580170,"29",5
"2889",300,"CARBON","ST",3,"S",3,2,3,274,27,"4/14/2016",1985,"F",3,"Local",1,"6",12580115,"31",4
"2890",300,"CARLTON","DR",4,"",7,3,4,600,30,"5/14/2016",1985,"O",2,"Local",1,"3",12578933,"31",6
"2891",300,"CARLTON","DR",4,"",7,3,4,600,30,"5/14/2016",1985,"O",2,"Local",1,"3",12578923,"31",6
"2892",300,"CARLTON","RD",5,"",6,3,3,961,27,"4/14/2016",2000,"F",3,"Local",1,"6",12571848,"16",6
"2893",300,"CATAWBA","ST",3,"",6,3,2,252,42,"4/14/2016",1985,"F",3,"Local",1,"6",12575174,"31",5
"2894",300,"CATHERINE","ST",3,"",3,3,1,710,30,"4/15/2016",1985,"F",3,"Local",1,"6",12578063,"31",4
"2895",300,"CATHERINE","ST",3,"",3,3,1,710,30,"4/15/2016",1985,"F",3,"Local",1,"6",12578060,"31",4
"2896",300,"CAYUGA","ST",3,"",6,3,4,587,31,"4/15/2016",1999,"O",2,"Local",1,"3",12572808,"17",6
"2897",300,"CHARMOUTH","DR",4,"",6,3,4,323,27,"4/15/2016",1999,"O",2,"Local",1,"3",12572027,"17",6
"2898",300,"CHEMUNG","ST",3,"",8,4,4,662,36,"4/15/2016",2002,"F",3,"Local",1,"6",12572804,"14",7
"2899",300,"CHEMUNG","ST",3,"",8,4,4,662,36,"4/15/2016",2002,"F",3,"Local",1,"6",12572801,"14",7
"2900",300,"CHERRY","ST",3,"",NA,NA,NA,601,34,"",1985,"F",3,"Local",1,"",12578196,"-85",NA
"2901",300,"CHURCHILL","AVE",6,"",6,3,5,380,24,"5/14/2016",2003,"O",2,"Local",1,"3",12576745,"13",7
"2902",300,"CLAIRMONTE","AVE",6,"",6,3,4,860,28,"3/15/2016",2000,"F",3,"Local",1,"6",12572981,"16",6
"2903",300,"CLARENCE","AVE",6,"",5,2,3,195,27,"6/15/2016",1985,"O",2,"Local",1,"3",12576633,"31",5
"2904",300,"CLARENDON","ST",3,"",3,2,2,350,24,"4/14/2016",2001,"F",3,"Local",1,"6",12577617,"15",4
"2905",300,"CLEVELAND","AVE",6,"",6,4,2,461,27,"4/14/2016",1985,"F",3,"Local",1,"6",12580283,"31",6
