block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
300,BROAD,ST,3,,5,3,2,358,36,12/1/1999,1988,F,2,3,CO,6,12577543,11
300,BROADVIEW,DR,4,,7,4,3,763,24,12/1/1999,1999,,1,1,Local,3,12571630,0
300,BROADVIEW,DR,4,,7,4,3,763,24,12/1/1999,1999,,1,1,Local,3,12571628,0
300,BROOKFORD,RD,5,,6,3,4,469,34,1/1/2016,1999,F,1,3,Local,6,12578653,17
300,BROOKFORD,RD,5,,6,3,4,469,34,1/1/2016,1999,F,1,3,Local,6,12578652,17
300,BROOKFORD,RD,5,,6,3,4,440,34,1/1/2016,1999,F,1,3,Local,6,12578653,17
300,BROOKFORD,RD,5,,6,3,4,440,34,1/1/2016,1999,F,1,3,Local,6,12578652,17
300,BROOKLEA,DR,4,,8,4,4,176,30,1/1/2016,1985,O,1,2,Local,3,12576490,31
300,BRUCE,ST,3,,6,2,4,1203,25.5,12/1/1999,1985,F,1,3,Local,6,12578716,14
300,BUCKINGHAM,AVE,6,,8,4,4,895,30,1/1/2016,1999,,1,1,Local,3,12577544,17
300,BURDICK,AVE,6,,7,4,4,293,23,11/1/1999,1985,O,1,2,Local,3,12575523,14
300,BURNET,AVE,6,,10,5,5,466,34,12/1/1999,1999,F,3,3,MA,6,12578019,0
300,BURNET PARK,DR,4,,10,5,5,325,27,11/1/2000,2000,F,1,3,Local,6,12572706,0
300,BURNS,AVE,6,,6,2,4,675,26,12/1/2000,1989,O,1,2,Local,3,12581206,11
300,BURT,ST,3,,7,3,4,495,30,12/1/1999,1999,F,3,3,MA,6,12577390,0
300,BUTTERNUT,ST,3,,7,4,3,384,42,12/1/2000,1985,F,3,3,MA,6,12579998,15
300,CADILLAC,ST,3,,9,5,5,306,26,12/1/1999,1985,O,1,2,Local,,13001410,14
300,CADILLAC,ST,3,,9,5,5,306,26,12/1/1999,1985,O,1,2,Local,,12580582,14
300,CADWELL,ST,3,,7,4,4,305,,12/1/1999,1985,,1,1,Local,,12573083,14
300,CADWELL,ST,3,,7,4,4,305,,12/1/1999,1985,,1,1,Local,,13002353,14
300,CALEB,AVE,6,,5,2,4,216,25,12/1/2000,1985,O,1,2,Local,3,12580915,15
300,CALTHROP,AVE,6,W,7,4,4,564,29.5,1/1/2016,1985,O,1,2,Local,3,12576728,31
300,CANNON,ST,3,,7,4,3,291,24,12/1/1999,1999,F,1,3,Local,6,12576830,0
300,CARBON,ST,3,,6,4,3,306,36,1/1/2000,1987,F,1,3,Local,6,12580170,13
300,CARBON,ST,3,S,6,3,4,274,27,3/1/2000,1985,F,1,3,Local,6,12580115,15
300,CARLTON,DR,4,,8,4,4,600,30,12/1/1999,1985,O,1,2,Local,3,12578923,14
300,CARLTON,DR,4,,8,4,4,600,30,12/1/1999,1985,O,1,2,Local,3,12578933,14
300,CARLTON,RD,5,,10,5,5,961,27,11/1/2000,2000,F,1,3,Local,6,12571848,0
300,CATAWBA,ST,3,,6,4,4,252,42,1/1/2000,1985,F,1,3,Local,6,12575174,15
300,CATHERINE,ST,3,,7,4,3,710,30,1/1/2016,1985,F,1,3,Local,6,12578063,31
300,CATHERINE,ST,3,,7,4,3,710,30,1/1/2016,1985,F,1,3,Local,6,12578060,31
300,CAYUGA,ST,3,,8,4,4,587,31,3/1/2000,1999,,1,1,Local,3,12572808,1
300,CHARMOUTH,DR,4,,10,5,5,323,30,12/1/1999,1999,O,1,2,Local,3,12572027,0
300,CHEMUNG,ST,3,,5,2,3,662,36,3/1/2000,1985,F,1,3,Local,,12572801,15
300,CHEMUNG,ST,3,,5,2,3,662,36,3/1/2000,1985,F,1,3,Local,,12572804,15
300,CHERRY,ST,3,, now private,,,601,34,,1985,F,1,3,Local,,12578196,-85
300,CHURCHILL,AVE,6,,7,3,4,380,24,1/1/2016,1985,O,1,2,Local,3,12576745,31
300,CLAIRMONTE,AVE,6,,10,5,5,860,28,11/1/2000,2000,F,1,3,Local,6,12572981,0
300,CLARENCE,AVE,6,,7,3,4,195,27,1/1/2016,1985,O,1,2,Local,3,12576633,31
300,CLARENDON,ST,3,,3,1,2,350,24,12/1/1999,1985,F,1,3,Local,6,12577617,14
300,CLEVELAND,AVE,6,,6,3,3,461,27,1/1/2000,1985,F,1,3,Local,6,12580283,15
300,CLINTON,ST,3,N,5,3,3,342,,1/1/2016,1985,F,3,3,MA,,12573903,31
300,CLINTON,ST,3,S,4,2,2,260,50,2/1/2000,1985,F,3,3,MA,6,12573749,15
300,COLDBROOK,DR,4,,8,4,5,345,18.5,1/1/2016,2000,O,1,2,Local,3,12576531,16
300,COLERIDGE,AVE,6,,8,4,5,1368,25,1/1/2016,1999,F,1,3,Local,6,12572705,17
300,COLLINGWOOD,AVE,6,N,7,3,4,1151,28,12/1/2000,1985,O,1,2,Local,3,12581410,15
300,COLLINGWOOD,AVE,6,S,7,3,4,813,24,12/1/1999,1985,O,1,2,Local,3,12580975,14
300,COLUMBUS,AVE,6,,5,2,3,411,36,1/1/2016,1985,F,1,3,Local,6,12578212,31
300,COLVIN,ST,3,E,7,3,4,416,30,1/1/2016,1985,F,3,3,MA,6,12577286,31
300,COLVIN,ST,3,E,7,3,4,416,30,1/1/2016,1985,F,3,3,MA,6,13002102,31
300,COLVIN,ST,3,E,7,3,4,416,30,1/1/2016,1985,F,3,3,MA,6,12577285,31
300,COLVIN,ST,3,W,5,3,2,498,25,12/1/1999,1985,F,3,3,MA,,12576826,14
300,COMSTOCK,AVE,6,,8,4,4,591,30,1/1/2016,1999,F,3,3,MA,6,12578121,17
300,COOLIDGE,AVE,6,,6,3,4,585,,12/1/1999,1983,F,1,3,Local,,12573156,16
300,COUGHLIN,AVE,6,,7,3,4,288,27,12/1/2000,1985,O,1,2,Local,3,12581101,15
300,COURT,ST,3,,7,4,3,500,34,12/1/1999,1989,F,3,3,MA,6,12575281,10
300,COURT,ST,3,,7,4,3,500,34,12/1/1999,1989,F,3,3,MA,6,12575280,10
300,CRADDOCK,ST,3,,4,2,3,300,25,12/1/1999,1985,F,1,3,Local,6,12572042,14
300,CRAIG,ST,3,,7,3,4,380,27,1/1/2000,1989,,1,1,Local,3,12580215,11
300,CRAWFORD,AVE,6,,6,3,4,491,27.5,1/1/2016,1985,F,1,3,Local,6,12578556,31
300,CRAWFORD,AVE,6,,6,3,4,491,27.5,1/1/2016,1985,F,1,3,Local,6,13013241,31
300,CROSSETT,ST,3,,4,2,2,343,25,12/1/1999,1985,F,1,3,Local,6,12572954,14
300,CROUSE,AVE,6,N,7,3,4,323,32,12/1/1999,1985,F,1,3,Local,6,12578080,14
300,CROUSE,AVE,6,S,4,3,2,628,36,3/1/2000,1985,F,1,3,Local,6,12577819,15
300,CULVER,DR,4,,9,5,5,290,23,12/1/1999,1999,O,1,2,Local,3,12581177,0
300,CURTIS,ST,3,,5,2,4,335,27,1/1/2000,1985,O,1,2,Local,3,12580185,15
300,DAKIN,ST,3,,7,4,4,285,27,1/1/2016,1989,O,1,2,Local,3,12578792,27
300,DAKOTA,ST,3,,6,3,4,320,32,12/1/1999,1985,O,1,2,Local,3,12578417,14
300,DAKOTA,ST,3,,6,3,4,320,32,12/1/1999,1985,O,1,2,Local,3,12578423,14
300,DANFORTH,ST,3,,6,3,4,204,30,3/1/2000,1985,F,1,3,Local,,12575152,15
300,DANFORTH,ST,3,,6,3,4,204,30,3/1/2000,1985,F,1,3,Local,,12575275,15
300,DARLINGTON,RD,5,,8,4,4,500,,1/1/2000,1985,O,1,2,Local,3,12580653,15
300,DARLINGTON,RD,5,,8,4,4,500,,1/1/2000,1985,O,1,2,Local,3,12580650,15
300,DEFOREST,RD,5,,7,4,3,592,28,1/1/2016,1999,O,1,2,Local,3,12578906,17
300,DELAWARE,ST,3,,10,5,5,350,35,12/1/1999,1999,F,1,3,Local,6,12573254,0
300,DEMONG,DR,4,,8,4,4,745,31,1/1/2016,1999,O,1,2,Local,3,13001930,17
