block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
500,SEDGWICK,DR,4,,6,3,3,,40,12/1/1998,1983,,1,1,Local,,12580452,15
500,SEDGWICK,DR,4,,6,3,3,,40,12/1/1998,1983,,1,1,Local,,12580454,15
500,SEELEY,RD,5,,6,3,3,,27,12/1/1999,1987,,3,1,MA,6,12578779,12
500,SEELEY,RD,5,,6,3,3,,27,12/1/1999,1987,,3,1,MA,6,12578835,12
500,SEVENTH NORTH,ST,3,,5,3,2,,,12/1/1999,1999,,3,1,MA,6,12575598,0
500,SEVENTH NORTH,ST,3,,5,3,2,,,12/1/1999,1999,,3,1,MA,6,12575599,0
500,SEYMOUR,ST,3,,6,4,2,,30,2/1/2000,1999,,2,1,CO,,13013140,1
500,SOLAR,ST,3,,7,3,4,,36,2/1/2000,1985,,1,1,Local,,12575065,15
500,SOUTH,AVE,6,,6,3,4,,,12/1/1999,1985,,2,1,CO,6,12573307,14
500,SPENCER,ST,3,,7,4,3,,36,2/1/2000,1999,,1,1,Local,6,12573580,1
500,SPENCER,ST,3,,7,4,3,,36,2/1/2000,1999,,1,1,Local,6,12573798,1
500,SPRING,ST,3,,7,4,4,,28,1/1/2000,1985,,1,1,Local,6,12580159,15
500,STAFFORD,AVE,6,,7,3,4,,29,12/1/1999,1985,,1,1,Local,,12580913,14
500,STATE,ST,3,N,7,4,3,,60,2/1/2000,1999,,3,1,MA,,12577957,1
500,STERLING,AVE,6,,4,1,3,295,28,12/1/1998,1983,,1,1,Local,6,12573164,15
500,STINARD,AVE,6,,6,3,3,,,12/1/1998,1985,,1,1,Local,,12572946,13
500,STOLP,AVE,6,,4,2,3,,35,12/1/1999,1985,F,1,3,Local,6,12572963,14
500,STRATFORD,ST,3,,5,2,4,,30,12/1/1999,1985,,1,1,Local,,12577598,14
500,SUNNYCREST,RD,5,,6,3,4,4500,24,12/1/1998,1985,,1,1,Local,,12580972,13
500,TALLMAN,ST,3,,6,3,3,,30,3/1/2000,1999,,2,1,CO,,13002384,1
