streetName,streetType,longitude,latitude
CLARENCE,AVE,-76.14039,43.004338
CLARENDON,ST,-76.123312,43.0383747
CLARKE,ST,-76.116891,43.039017
CLAYTON,AVE,-76.169046,43.015709
CLEVELAND,AVE,-76.144693,43.07095
CLIFTON,PL,-76.1168163,43.0663794
CLINTON,ST,-76.156526,43.059048
CLOVER,ST,-76.1588783,43.0344247
CLYDE,AVE,-76.161604,43.021808
CODY,AVE,-76.189417,43.046632
COFFEY,DR,-76.1845722,43.0477635
COLBY,AVE,-76.103124,43.073779
COLDBROOK,DR,-76.1400816,42.99264
COLERIDGE,AVE,-76.18385,43.043485
COLLEGE,PL,-76.1315101,43.0379138
COLLINGWOOD,AVE,-76.107169,43.064021
COLUMBIA,AVE,-76.168006,43.021217
COLUMBUS,AVE,-76.121223,43.045975
COLVIN,ST,-76.1254908,43.0225013
COMMONWEALTH,AVE,-76.16311,43.071353
COMSTOCK,AVE,-76.129413,43.0320598
COMSTOCK,PL,-76.1290984,43.0462506
CONAN,ST,-76.1497035,43.0106589
CONCORD,PL,-76.117602,43.03985
CONGRESS,AVE,-76.162973,43.039568
CONIFER,DR,-76.1422405,42.9905649
COOK,AVE,-76.1187607,43.0645413
COOLIDGE,AVE,-76.1635475,43.033274
CORAL,AVE,-76.150335,43.009355
CORDOVA,ST,-76.13973,43.006346
CORNELL,AVE,-76.168814,43.01207
CORNING,AVE,-76.1476488,43.018247
CORTLAND,PL,-76.1525802,43.0034205
COSSITT,ST,-76.1527556,42.9962679
COUGHLIN,AVE,-76.105622,43.073668
COURT,ST,-76.144715,43.0792794
COYKENDALL,AVE,-76.1961673,43.056284
COYNE,CIR,-76.1474244,43.0481221
CRADDOCK,ST,-76.162651,43.020502
CRAFTON,AVE,-76.1512081,42.991981
CRAIG,ST,-76.145656,43.071164
CRATON,ST,-76.123486,43.056781
CRAWFORD,AVE,-76.109193,43.035696
CREHANGE,ST,-76.1547809,43.0221671
CRESCENT,AVE,-76.159898,43.028516
CRESTVIEW,DR,-76.095754,43.141499
CRESTVIEW,TER,-76.1953901,43.0479333
CRIPPEN,AVE,-76.144128,43.003769
CRIPPEN,PL,-76.144223,43.004506
CROLY,ST,-76.112656,43.048195
CROSSETT,ST,-76.170284,43.027924
CROUSE,AVE,-76.1364393,43.0516272
CROYDEN,RD,-76.108379,43.030872
CRYSLER,ST,-76.18143,43.04888
CULBERT,ST,-76.1498667,43.0721147
CULVER,DR,-76.096952,43.065288
CUMBERLAND,AVE,-76.11268,43.029263
CUMBERLAND,PL,-76.1124695,43.031985
CUMMINGS,AVE,-76.1602059,43.0678362
CURTIS,ST,-76.148289,43.06703
DAISY,ST,-76.157657,43.035346
DAKIN,ST,-76.111835,43.050571
DAKOTA,ST,-76.113642,43.032682
DALE,ST,-76.144611,43.076874
DARLINGTON,RD,-76.1364917,43.0771888
DAVIS,ST,-76.169803,43.039217
DAWES,AVE,-76.145011,43.008691
DEARBORN,PL,-76.1570865,43.0297229
DECKER,ST,-76.1468236,43.0523028
DELAWARE,ST,-76.1693854,43.0373903
DELL,ST,-76.120627,43.04186
DELRAY,AVE,-76.100257,43.04989
DEMONG,DR,-76.089232,43.044627
DEVINE,ST,-76.1191022,43.050241
DEWEY,AVE,-76.179362,43.053892
DEWITT,RD,-76.082454,43.038205
DEWITT,ST,-76.134109,43.066963
DIANA,AVE,-76.128548,43.015454
DICKERSON,ST,-76.1547728,43.0443351
DIDAMA,ST,-76.106593,43.046662
DILLAYE,AVE,-76.11692,43.056621
DIVISION,ST,-76.1490748,43.063233
DODGE,DR,-76.1201872,43.0239459
