block,streetName,streetType,stretTypeNum,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,classnum,flushOilNum,class,pavement,streetID,NumofYrs
0,KINGSLEY,PL,1,,5,3,3,606,0,6/4/2016,1985,,1,1,Local,,12572861,31
100,ABERDEEN,TER,2,,5,2,3,530,22,12/7/2016,1988,O,1,2,Local,3,12581174,28
100,ACADEMY,PL,1,,6,4,3,588,28,3/9/2016,1985,O,1,2,Local,3,12576512,31
100,ACADEMY,ST,3,,8,4,5,325,25,3/9/2016,1999,O,1,2,Local,3,12571714,17
100,ADAMS,ST,3,E,8,4,5,176,64,3/9/2016,2000,F,1,3,Local,6,12577644,16
100,ADAMS,ST,3,W,6,3,4,352,64,3/9/2016,2000,F,1,3,Local,6,12573680,16
100,AINSLEY,DR,4,,6,4,3,411,26,12/7/2016,1985,F,2,3,CO,3,12576911,31
100,AINSLEY,DR,4,,6,4,3,411,26,12/7/2016,1985,F,2,3,CO,3,12576914,31
100,ALANSON,RD,5,,8,4,4,880,18,3/9/2016,2004,F,1,3,Local,6,12572942,12
100,ALANSON,RD,5,,8,4,4,880,18,3/9/2016,2004,F,1,3,Local,6,12572940,12
100,ALANSON,RD,5,,8,4,4,880,18,3/9/2016,2004,F,1,3,Local,6,12571891,12
100,ALBERT,RD,5,,5,3,4,327,27,12/7/2016,1985,O,1,2,Local,3,12578942,31
100,ALDEN,ST,3,,6,3,3,792,26,12/7/2016,1989,O,1,2,Local,3,12576956,27
100,ALEXANDER,AVE,6,,2,2,1,686,27,3/8/2016,1985,F,1,3,Local,4,12577333,31
100,ALMOND,ST,3,,6,3,4,150,54,12/7/2016,1999,F,1,3,Local,6,12578006,17
100,ALMOND,ST,3,,6,3,4,150,54,12/7/2016,1999,F,1,3,Local,6,12577993,17
100,ALTON,ST,3,,8,5,4,1050,25,3/8/2016,2002,O,1,2,Local,3,13002170,14
100,ALTON,ST,3,,8,5,4,1050,25,3/8/2016,2002,O,1,2,Local,3,13011484,14
100,ALVORD,ST,3,S,5,3,4,352,32,12/8/2016,1987,F,1,3,Local,6,12580079,29
100,AMES,AVE,6,,5,3,3,323,26,12/7/2016,1985,O,1,2,Local,3,12571734,31
100,AMHERST,AVE,6,,9,5,5,557,25,12/7/2016,2005,F,1,3,Local,4,12576881,11
100,AMIDON,DR,4,,5,2,3,250,27,3/9/2016,1999,F,1,3,Local,4,13002105,17
100,AMY,ST,3,,6,3,5,792,27,3/8/2016,1999,O,1,2,Local,3,12573417,17
100,ANDERSON,AVE,6,,8,4,4,1150,25,12/7/2016,1999,O,1,2,Local,3,12576600,17
100,ANDOVER,RD,5,,8,4,5,323,21,12/7/2016,1985,O,1,2,Local,3,12577527,31
100,ARCH,ST,3,,6,2,4,546,18,3/9/2016,2002,O,1,2,Local,3,12581146,14
100,ARCHER,RD,5,,7,4,4,845,28,3/8/2016,1999,O,1,2,Local,3,12572325,17
100,ARDEN,DR,4,,8,4,5,323,28,3/8/2016,2001,O,1,2,Local,3,12571869,15
100,ARDMORE,PL,1,,6,3,3,317,21,2/8/2016,1999,O,1,2,Local,3,12580667,17
100,ARDMORE,PL,1,,6,3,3,317,21,2/8/2016,1999,O,1,2,Local,3,12580665,17
100,ARGONNE,DR,4,,4,2,3,247,26,3/8/2016,1985,O,1,2,Local,3,12572899,31
100,ARGYLE,AVE,6,,5,2,5,175,22,2/8/2016,1989,O,1,2,Local,3,12580767,27
100,ARGYLE,TER,2,,8,5,5,360,25,12/7/2016,2005,F,1,3,Local,3,12573198,11
100,ARLINGTON,AVE,6,,5,2,3,350,36,3/9/2016,1999,F,1,3,Local,6,12572035,17
100,ARMSTRONG,PL,1,,7,3,4,1330,27,12/7/2016,1999,O,1,2,Local,3,12571903,17
100,ARNTS,PL,1,,6,3,2,686,28,12/8/2016,1999,O,1,2,Local,3,12575521,17
100,ARSENAL,DR,4,,5,2,4,495,18,3/9/2016,1999,O,1,2,Local,3,12576562,17
100,ASH,ST,3,,6,3,3,411,30,2/9/2016,1999,F,1,3,Local,6,12575114,17
100,ASHDALE,AVE,6,,5,3,4,716,27,12/8/2016,1988,O,1,2,Local,3,12581076,28
100,ASHWORTH,PL,1,,5,4,2,600,27,3/8/2016,1999,F,1,3,Local,6,12578137,17
100,ATKINSON,AVE,6,,8,4,5,739,23,3/8/2016,1985,O,1,2,Local,3,12572894,31
100,ATLANTIC,AVE,6,,7,4,4,,,3/9/2016,1985,O,1,2,Local,3,12576699,31
100,AUSTIN,AVE,6,,8,4,4,1637,23,3/8/2016,2003,O,1,2,Local,3,12572328,13
100,AVERY,AVE,6,S,6,3,4,455,36,3/9/2016,1999,F,2,3,CO,6,12572698,17
100,AVERY,AVE,6,S,6,3,4,455,36,3/9/2016,1999,F,2,3,CO,6,13010364,17
100,AVERY,AVE,6,S,6,3,4,455,36,3/9/2016,1999,F,2,3,CO,6,13010365,17
100,AVOCA,ST,3,,6,3,4,422,27,3/9/2016,1985,O,1,2,Local,3,12572709,31
100,AVON,RD,5,,6,3,4,685,28,12/7/2016,2001,O,1,2,Local,3,12581144,15
100,AVONDALE,PL,1,,6,4,2,561,25,12/8/2016,2002,F,1,3,Local,4,12577635,14
100,BAKER,AVE,6,,7,4,3,605,27,3/8/2016,1999,F,1,3,Local,6,12577267,17
100,BALDWIN,AVE,6,,7,4,3,1007,27,3/9/2016,1999,O,1,2,Local,3,12571994,17
100,BALL,CIR,7,,5,3,1,1031,26,12/7/2016,1985,O,1,2,Local,3,12576912,31
100,BALLANTYNE,RD,5,,9,5,5,805,31,12/7/2016,2004,F,1,3,Local,4,13028538,12
100,BALLANTYNE,RD,5,,9,5,5,805,31,12/7/2016,2004,F,1,3,Local,4,12576746,12
100,BALLARD,AVE,6,,4,4,1,375,,3/8/2016,1985,O,1,2,Local,3,12573229,31
100,BARKER,AVE,6,,5,3,5,178,30,12/7/2016,2001,O,1,2,Local,3,12573771,15
100,BARNES,AVE,6,,6,3,3,317,27,3/9/2016,1999,O,1,2,Local,3,12571901,17
100,BARNES,AVE,6,,6,3,3,317,27,3/9/2016,1999,O,1,2,Local,3,12571902,17
100,BARRINGTON,RD,5,,7,3,5,411,30,12/8/2016,1999,O,1,2,Local,3,12579593,17
100,BASIN,ST,3,,7,4,2,455,30,2/9/2016,2004,F,1,3,Local,4,12575165,12
100,BASSETT,ST,3,,10,5,5,616,27,7/6/2016,2006,F,1,3,Local,3,12578207,10
100,BASSETT,ST,3,,10,5,5,616,27,7/6/2016,2006,F,1,3,Local,3,12578184,10
100,BASSETT,ST,3,,10,5,5,616,27,7/6/2016,2006,F,1,3,Local,3,13017590,10
100,BASSETT,ST,3,,10,5,5,411,27,7/6/2016,2006,F,1,3,Local,3,12578207,10
100,BASSETT,ST,3,,10,5,5,411,27,7/6/2016,2006,F,1,3,Local,3,12578184,10
100,BASSETT,ST,3,,10,5,5,411,27,7/6/2016,2006,F,1,3,Local,3,13017590,10
100,BEACON,RD,5,,7,4,5,264,28,12/7/2016,2001,F,1,3,Local,6,12581052,15
100,BEACON,RD,5,,7,4,5,264,28,12/7/2016,2001,F,1,3,Local,6,12581056,15
100,BEAR,ST,3,W,6,3,3,411,36,12/7/2016,1985,F,3,3,MA,6,12575201,31
100,BEAR,ST,3,W,6,3,3,411,36,12/7/2016,1985,F,3,3,MA,6,12575203,31
100,BEAR,ST,3,W,6,3,3,411,36,12/7/2016,1985,F,3,3,MA,6,13001193,31
100,BEARD,AVE,6,E,5,3,2,528,25,12/7/2016,1999,F,1,3,Local,6,12577247,17
100,BEARD,AVE,6,E,5,3,2,528,25,12/7/2016,1999,F,1,3,Local,6,12577248,17
100,BEARD,AVE,6,W,4,3,2,587,28,3/9/2016,1999,F,1,3,Local,6,12577235,17
100,BEARD,PL,1,,4,3,2,581,12,3/8/2016,1999,F,1,3,Local,4,12577242,17
100,BEATTIE,ST,3,,5,3,3,900,22,12/8/2016,1988,O,1,2,Local,6,12578829,28
100,BEATTIE,ST,3,,5,3,3,900,22,12/8/2016,1988,O,1,2,Local,6,12578830,28
100,BEAUMONT,PL,1,,4,2,4,293,35,12/7/2016,1988,O,1,2,Local,3,12578937,28
100,BEAUMONT,PL,1,,4,2,4,293,35,12/7/2016,1988,O,1,2,Local,3,13011132,28
100,BECKER,ST,3,,7,3,5,300,19,2/9/2016,2002,O,1,2,Local,3,12580216,14
100,BEECH,ST,3,S,8,4,5,381,30,3/8/2016,2003,F,1,3,Local,6,12578258,13
100,BEECH,ST,3,S,8,4,5,381,30,3/8/2016,2003,F,1,3,Local,6,12578261,13
100,BEECHER,ST,3,,8,4,4,590,25,12/7/2016,1999,F,1,3,Local,6,13012342,17
100,BEECHER,ST,3,,8,4,4,590,25,12/7/2016,1999,F,1,3,Local,6,12580077,17
100,BEECHER,ST,3,,8,4,4,590,25,12/7/2016,1999,F,1,3,Local,6,12580084,17
100,BELLE,AVE,6,,5,3,2,1504,24,12/7/2016,1985,O,1,2,Local,3,12576721,31
100,BELLEVUE,AVE,6,,6,3,3,352,30,3/9/2016,1999,F,2,3,CO,6,12573326,17
100,BELLEVUE,AVE,6,,6,3,3,352,30,3/9/2016,1999,F,2,3,CO,6,12573312,17
100,BELLSHIRE,LN,8,,8,4,4,400,28,2/8/2016,1999,O,1,2,Local,3,12575550,17
100,BENDER,ST,3,,6,3,5,211,22,2/9/2016,1999,O,1,2,Local,3,12580651,17
100,BENEDICT,AVE,6,,6,3,4,739,24,12/7/2016,1985,O,1,2,Local,3,12577312,31
100,BENEDICT,AVE,6,,6,3,4,739,24,12/7/2016,1985,O,1,2,Local,3,12576899,31
100,BENNINGTON,DR,4,,5,2,3,528,27,3/9/2016,1985,F,1,3,Local,6,12576753,31
100,BERGER,AVE,6,,8,4,4,1262,25,3/9/2016,1999,O,1,2,Local,3,12571996,17
100,BERKELEY,DR,4,,8,4,5,367,32,12/8/2016,2000,F,1,3,Local,6,12577560,16
100,BERKELEY,DR,4,,8,4,5,367,32,12/8/2016,2000,F,1,3,Local,6,13017688,16
100,BERKELEY,DR,4,,8,4,5,367,32,12/8/2016,2000,F,1,3,Local,6,13011307,16
100,BERKSHIRE,AVE,6,,5,3,3,909,27,2/8/2016,1985,F,1,3,Local,6,12580624,31
100,BERTRAM,PL,1,,8,4,4,1060,28,3/9/2016,2004,O,1,2,Local,3,12572061,12
100,BERTRAM,PL,1,,8,4,4,1060,28,3/9/2016,2004,O,1,2,Local,3,12572064,12
100,BERTRAM,PL,1,,8,4,4,1060,28,3/9/2016,2004,O,1,2,Local,3,12572066,12
100,BERWYN,AVE,6,,7,4,4,634,22,12/7/2016,1985,O,1,2,Local,3,12577307,31
100,BEVERLY,RD,5,,4,3,2,898,24,3/8/2016,1985,F,1,3,Local,4,12573141,31
100,BISHOP,AVE,6,,5,4,1,690,30,12/7/2016,1985,F,1,3,Local,6,12572116,31
100,BISSELL,ST,3,E,4,2,2,898,23,3/8/2016,1999,O,1,2,Local,3,12573177,17
100,BISSELL,ST,3,W,8,4,4,686,24,3/8/2016,1999,O,1,2,Local,3,12573172,17
100,BLAINE,ST,3,,2,2,1,634,25,3/8/2016,1985,F,1,3,Local,6,12573332,31
100,BLOSSOM,RD,5,,5,2,2,429,26,12/7/2016,1999,O,1,2,Local,3,12578748,17
100,BOISE,DR,4,,10,5,5,265,24,7/6/2016,2006,F,1,3,Local,6,12576976,10
100,BORDEN,AVE,6,E,5,3,2,550,33,3/8/2016,1999,F,1,3,Local,6,12577250,17
100,BORDEN,AVE,6,W,9,5,5,585,27,12/7/2016,2005,F,1,3,Local,6,12577243,11
100,BOSTON,ST,3,,5,3,3,290,26,12/7/2016,1985,O,1,2,Local,3,12581282,31
100,BOYDEN,ST,3,,5,2,3,615,27,12/8/2016,1985,F,1,3,Local,6,12580373,31
100,BRACE,ST,3,,9,5,5,581,21,2/8/2016,2005,O,1,2,Local,3,12575519,11
100,BRADFORD,LN,8,,7,4,3,718,29,12/8/2016,2000,O,1,2,Local,3,12578544,16
100,BRADFORD,PKWY,9,,7,3,4,1027,36,12/8/2016,2000,F,1,3,Local,6,13013251,16
100,BRADFORD,PKWY,9,,7,3,4,1027,36,12/8/2016,2000,F,1,3,Local,6,12578743,16
100,BRADFORD,PKWY,9,,7,3,4,1027,36,12/8/2016,2000,F,1,3,Local,6,12578571,16
